property_id,check_in_date,room_category,successful_bookings,capacity
16559,2022-05-01,RT1,25,30.0
19562,2022-05-01,RT1,28,30.0
19563,2022-05-01,RT1,23,30.0
17558,2022-05-01,RT1,30,19.0
16558,2022-05-01,RT1,18,19.0
17560,2022-05-01,RT1,28,40.0
19558,2022-05-01,RT1,25,40.0
19560,2022-05-01,RT1,23,26.0
16560,2022-05-01,RT1,24,34.0
16561,2022-05-01,RT1,16,18.0
16562,2022-05-01,RT1,20,31.0
16563,2022-05-01,RT1,100,41.0
17559,2022-05-01,RT1,26,32.0
17563,2022-05-01,RT1,21,25.0
18558,2022-05-01,RT1,11,15.0
18559,2022-05-01,RT1,29,42.0
18561,2022-05-01,RT1,31,33.0
18562,2022-05-01,RT1,34,38.0
18563,2022-05-01,RT1,18,27.0
19559,2022-05-01,RT1,18,24.0
19561,2022-05-01,RT1,25,36.0
17564,2022-05-01,RT1,9,16.0
19562,2022-05-01,RT2,23,23.0
18563,2022-05-01,RT2,21,29.0
17561,2022-05-01,RT2,32,36.0
17558,2022-05-01,RT2,38,50.0
16562,2022-05-01,RT2,30,43.0
16561,2022-05-01,RT2,24,24.0
16558,2022-05-01,RT2,21,22.0
19560,2022-05-01,RT2,37,38.0
16563,2022-05-01,RT2,37,38.0
16559,2022-05-01,RT2,35,41.0
19559,2022-05-01,RT2,32,41.0
19558,2022-05-01,RT2,25,39.0
17559,2022-05-01,RT2,34,39.0
16560,2022-05-01,RT2,25,34.0
18562,2022-05-01,RT2,33,34.0
18559,2022-05-01,RT2,29,44.0
17563,2022-05-01,RT2,40,44.0
17562,2022-05-01,RT2,19,30.0
18558,2022-05-01,RT2,21,30.0
17564,2022-05-01,RT2,25,40.0
18561,2022-05-01,RT2,35,40.0
18560,2022-05-01,RT2,34,40.0
17560,2022-05-01,RT2,31,45.0
19561,2022-05-01,RT2,35,45.0
19563,2022-05-01,RT2,36,45.0
19563,2022-05-01,RT3,20,29.0
18560,2022-05-01,RT1,27,30.0
19562,2022-05-01,RT3,25,29.0
19561,2022-05-01,RT3,23,29.0
18562,2022-05-01,RT3,28,29.0
17558,2022-05-01,RT3,21,27.0
17562,2022-05-01,RT3,15,27.0
19559,2022-05-01,RT3,19,27.0
16559,2022-05-01,RT3,27,32.0
17560,2022-05-01,RT3,19,25.0
18561,2022-05-01,RT3,23,25.0
16561,2022-05-01,RT3,21,21.0
16563,2022-05-01,RT3,17,20.0
17561,2022-05-01,RT3,16,19.0
18558,2022-05-01,RT3,18,26.0
18560,2022-05-01,RT3,21,24.0
18563,2022-05-01,RT3,16,23.0
19560,2022-05-01,RT3,16,19.0
17564,2022-05-01,RT3,16,24.0
16560,2022-05-01,RT3,15,20.0
16558,2022-05-01,RT3,8,8.0
19558,2022-05-01,RT3,13,21.0
16562,2022-05-01,RT3,14,18.0
17559,2022-05-01,RT3,14,16.0
17563,2022-05-01,RT3,14,16.0
18559,2022-05-01,RT3,14,23.0
19559,2022-05-01,RT4,2,3.0
16562,2022-05-01,RT4,4,6.0
17558,2022-05-01,RT4,4,6.0
17562,2022-05-01,RT4,4,6.0
19563,2022-05-01,RT4,4,6.0
19558,2022-05-01,RT4,4,7.0
19561,2022-05-01,RT4,5,7.0
16560,2022-05-01,RT4,6,7.0
16561,2022-05-01,RT4,9,10.0
17560,2022-05-01,RT4,10,13.0
18561,2022-05-01,RT4,8,9.0
17564,2022-05-01,RT4,9,17.0
18560,2022-05-01,RT4,14,15.0
19560,2022-05-01,RT4,15,16.0
18559,2022-05-01,RT4,11,19.0
17563,2022-05-01,RT4,17,19.0
19562,2022-05-01,RT4,13,14.0
17559,2022-05-01,RT4,13,14.0
18558,2022-05-01,RT4,14,20.0
18562,2022-05-01,RT4,19,20.0
18563,2022-05-01,RT4,13,18.0
16563,2022-05-01,RT4,17,18.0
16559,2022-05-01,RT4,17,18.0
17561,2022-05-01,RT4,3,4.0
16558,2022-05-01,RT4,3,3.0
